Артикул	Номенклатура.Производитель (бренд)	Номенклатура на 6 января 2026 г.	KZ РРЦ	KZ Дилер	%	ALM а 23 февраля 2026 г.	AlmRes	AlmAway	Ast	AstRes	AstAway	Alm2	Msk ст на 26 мая 2025 г.	MskRes	MskAway	Pic	URL	Status	Unnamed: 19	Unnamed: 20	Unnamed: 21	KZ РРЦ.1	KZ Дилер.1	%.1	0	AlmRes.1	AlmAway.1	Ast.1	AstRes.1	AstAway.1	Alm2.1	Msk ст на 26 мая 2025 г..1	MskRes.1	MskAway.1	Pic.1	URL.1	Status.1	Unnamed: 38	Unnamed: 39
L36280-Z4-X765	Gigaset	PSU, БП для N720 IP, N720 DM, Maxwell 10S				0	0	0	0.0	0.0	0.0	0	1	0	0		https://ipmatika.kz/products/dect-network/%C1%EB%EE%EA_%EF%E8%F2%E0%ED%E8%FF_%E4%EB%FF_N720_IP%2C_N720_DM%2C_Maxwell_10S/								0	0	0	0.0	0.0	0.0	0	1	0	0		https://ipmatika.kz/products/dect-network/%C1%EB%EE%EA_%EF%E8%F2%E0%ED%E8%FF_%E4%EB%FF_N720_IP%2C_N720_DM%2C_Maxwell_10S/			
L36280-Z4-X706	Gigaset	PSU, БП для N870 IP, N720 DM	19270.0	14452.88	-24.998028022833424	0	0	0	0.0	0.0	0.0	0	4	0	0		https://ipmatika.kz/products/dect-network/%C1%EB%EE%EA_%EF%E8%F2%E0%ED%E8%FF_%E4%EB%FF_N870_IP%2C_N720%20DM/					19270.0	14452.88	-24.998028022833424	0	0	0	0.0	0.0	0.0	0	4	0	0		https://ipmatika.kz/products/dect-network/%C1%EB%EE%EA_%EF%E8%F2%E0%ED%E8%FF_%E4%EB%FF_N870_IP%2C_N720%20DM/			
Трубки GIGASET						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
S30852-H2976-R102	Gigaset	R700H PRO, DECT-трубка, цвет. дисплей 2.4, фонарик, защита по IP65, HD-звук, виброопов., функции AML	204260.0	153195.12	-24.99994125134633	0	0	0	0.0	0.0	0.0	0	9	18	30		https://ipmatika.kz/products/dect-network/Gigaset-R700H/					204260.0	153195.12	-24.99994125134633	0	0	0	0.0	0.0	0.0	0	9	18	30		https://ipmatika.kz/products/dect-network/Gigaset-R700H/			
S30852-H2974-R102	Gigaset	S700H PRO, DECT-трубка, цветной дисплей 2.4, защита по IP40, HD-звук, виброоп., функции AML	146400.0	109802.68000000001	-24.99816939890711	0	0	0	0.0	0.0	0.0	0	41	0	0		https://ipmatika.kz/products/dect-network/Gigaset-S700H/					146400.0	109802.68000000001	-24.99816939890711	0	0	0	0.0	0.0	0.0	0	41	0	0		https://ipmatika.kz/products/dect-network/Gigaset-S700H/			
S30852-H2975-R102	Gigaset	SL800H PRO, DECT-трубка, цветной дисплей 2.4, премиальный дизайн, bluetooth, HD-звук, функции AML	197170.0	147875.0	-25.001267941370386	0	0	0	0.0	0.0	0.0	0	0	4	0		https://ipmatika.kz/products/dect-network/Gigaset-SL800H/					197170.0	147875.0	-25.001267941370386	0	0	0	0.0	0.0	0.0	0	0	4	0		https://ipmatika.kz/products/dect-network/Gigaset-SL800H/			
IP-АТС и VoIP-шлюзы						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
2-Wire коммутаторы						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
PN1	Fanvil	PN1, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	94310.0	75451.47499999999	-19.996315343017713	0	0	0	0.0	0.0	0.0	0	1	0	0	http://ipmatika.ru/upload/iblock/363/hdfudxgb2k68f8fw0xru7r0isjlc6olx/PN1%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn1/					94310.0	75451.47499999999	-19.996315343017713	0	0	0	0.0	0.0	0.0	0	1	0	0	http://ipmatika.ru/upload/iblock/363/hdfudxgb2k68f8fw0xru7r0isjlc6olx/PN1%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn1/			
PN24	Fanvil	PN24, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	183960.0	147170.65	-19.998559469449887	0	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/908/c13y4g7547jxrxwmeblv0dennvuac7fi/PN24%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn24/					183960.0	147170.65	-19.998559469449887	0	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/908/c13y4g7547jxrxwmeblv0dennvuac7fi/PN24%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn24/			
PN8	Fanvil	PN8, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	98110.0	78489.95	-19.99801243502192	0	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/414/qoi9gsa6bcg0l2jot2lhe3yohho9e7d3/PN8%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn8/					98110.0	78489.95	-19.99801243502192	0	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/414/qoi9gsa6bcg0l2jot2lhe3yohho9e7d3/PN8%20%283%29.png	https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn8/			
IP-АТС серии C						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0009	Yeastar	Лицензия Yeastar Cloud PBX Branding (годовая)				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0004	Yeastar	Лицензия Yeastar Cloud PBX Call Recording				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0006	Yeastar	Лицензия Yeastar Cloud PBX на 200 пользователей (годовая)				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0008	Yeastar	Лицензия Yeastar Cloud PBX на 200 пользователей (годовая) расширение на 100 пользователей				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0005	Yeastar	Лицензия Yeastar Cloud PBX на 400 пользователей (годовая)				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 106 0007	Yeastar	Лицензия Yeastar Cloud PBX на 400 пользователей (годовая), расширение на 100 пользователей				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
IP-АТС серии P						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
P520	Yeastar	P520, 20 абонентов и 10 вызовов, поддержка FXO, FXS, GSM, BRI	314050.0	235400.0	-25.04378283712785	12	0	0	1.0	0.0	0.0	0	3	1	20	http://ipmatika.ru/upload/iblock/0f9/i5p6kda6fiovpqi51awc9a06sylvmkok/P520_01.jpg	https://ipmatika.kz/products/ip-ats/yeastar-p520/					314050.0	235400.0	-25.04378283712785	12	0	0	1.0	0.0	0.0	0	3	1	20	http://ipmatika.ru/upload/iblock/0f9/i5p6kda6fiovpqi51awc9a06sylvmkok/P520_01.jpg	https://ipmatika.kz/products/ip-ats/yeastar-p520/			
P550	Yeastar	P550, 50 абонентов и 25 вызовов, поддержка FXO, FXS, GSM, BRI	615450.0	461450.0	-25.02234137622878	12	1	0	0.0	0.0	0.0	0	0	0	10	http://ipmatika.ru/upload/iblock/18f/P550_right1.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p550/					615450.0	461450.0	-25.02234137622878	12	1	0	0.0	0.0	0.0	0	0	0	10	http://ipmatika.ru/upload/iblock/18f/P550_right1.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p550/			
P560	Yeastar	P560, 100 (до 200) абонентов и 30 (до 60) вызовов,PRI,MFC R2,SS7,поддержка FXO,FXS,GSM,BRI	813450.0	609950.0	-25.016903313049355	8	0	0	1.0	0.0	0.0	0	12	9	30	http://ipmatika.ru/upload/iblock/e53/P560_right1.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p560/					813450.0	609950.0	-25.016903313049355	8	0	0	1.0	0.0	0.0	0	12	9	30	http://ipmatika.ru/upload/iblock/e53/P560_right1.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p560/			
P570	Yeastar	P570, 300 (до 500) абонентов и 60 (до 120) вызовов,PRI,MFC R2,SS7,поддержка FXO,FXS,GSM,BRI	1658800.0	1244100.0	-25.0	8	1	0	1.0	0.0	0.0	0	12	17	0	http://ipmatika.ru/upload/iblock/3ac/qjjqv0ik85j0ruew2mwzmymkpwdqkek3/P570.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p570/					1658800.0	1244100.0	-25.0	8	1	0	1.0	0.0	0.0	0	12	17	0	http://ipmatika.ru/upload/iblock/3ac/qjjqv0ik85j0ruew2mwzmymkpwdqkek3/P570.png	https://www.ipmatika.kz/products/ip-ats/yeastar-p570/			
IP-АТС серии P (лицензии)						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0011	Yeastar	P520 Enterprise License, колл-центр,сервис удалённого доступа (годовая)	157850.0	118800.0	-24.738675958188153	0	0	0	0.0	0.0	0.0	0	0	0	0							157850.0	118800.0	-24.738675958188153	0	0	0	0.0	0.0	0.0	0	0	0	0					
P520-HMM	Yeastar	P520 HMM License, Hotel Management Module (бессрочная)	184250.0	138600.0	-24.776119402985074	0	0	0	0.0	0.0	0.0	0	0	0	0							184250.0	138600.0	-24.776119402985074	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0010	Yeastar	P520 Standard License,сервис удалённого доступа (годовая)	122100.0	91850.0	-24.77477477477477	0	0	0	0.0	0.0	0.0	0	0	0	0							122100.0	91850.0	-24.77477477477477	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0012	Yeastar	P520 Ultimate License, видеоконференции,колл-центр,сервис удалённого доступа (годовая)	237050.0	178200.0	-24.825986078886316	0	0	0	0.0	0.0	0.0	0	0	0	0							237050.0	178200.0	-24.825986078886316	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0001	Yeastar	P550 Enterprise License, колл-центр,сервис удалённого доступа (годовая)	316800.0	237600.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							316800.0	237600.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
P550-HMM	Yeastar	P550 HMM License, Hotel Management Module (бессрочная)	277750.0	208450.0	-24.95049504950495	0	0	0	0.0	0.0	0.0	0	0	0	0							277750.0	208450.0	-24.95049504950495	0	0	0	0.0	0.0	0.0	0	0	0	0					
P550-PMS	Yeastar	P550 PMS License, Micros Fidelio & Oracle Opera (бессрочная)	273350.0	205150.0	-24.949698189134807	0	0	0	0.0	0.0	0.0	0	0	0	0							273350.0	205150.0	-24.949698189134807	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0007	Yeastar	P550 Standard License,сервис удалённого доступа (годовая)	215600.0	161700.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							215600.0	161700.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0004	Yeastar	P550 Ultimate License, видеоконференции,колл-центр,сервис удалённого доступа (годовая)	475200.0	356400.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							475200.0	356400.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0002	Yeastar	P560 Enterprise License, колл-центр,сервис удалённого доступа (годовая)	396000.0	297000.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							396000.0	297000.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
P560-HMM	Yeastar	P560 HMM License, Hotel Management Module (бессрочная)	554950.0	416350.0	-24.97522299306243	0	0	0	0.0	0.0	0.0	0	0	0	0							554950.0	416350.0	-24.97522299306243	0	0	0	0.0	0.0	0.0	0	0	0	0					
P560-PMS	Yeastar	P560 PMS License, Micros Fidelio & Oracle Opera (бессрочная)	540100.0	405350.0	-24.949083503054993	0	0	0	0.0	0.0	0.0	0	0	0	0							540100.0	405350.0	-24.949083503054993	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0008	Yeastar	P560 Standard License,сервис удалённого доступа (годовая)	323950.0	243100.0	-24.95755517826825	0	0	0	0.0	0.0	0.0	0	0	0	0							323950.0	243100.0	-24.95755517826825	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0005	Yeastar	P560 Ultimate License, видеоконференции,колл-центр,сервис удалённого доступа (годовая)	712800.0	534600.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							712800.0	534600.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0003	Yeastar	P570 Enterprise License, колл-центр,сервис удалённого доступа (годовая)	633600.0	475200.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							633600.0	475200.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
P570-HMM	Yeastar	P570 HMM License, Hotel Management Module (бессрочная)	1109900.0	832700.0	-24.97522299306243	0	0	0	0.0	0.0	0.0	0	0	0	0							1109900.0	832700.0	-24.97522299306243	0	0	0	0.0	0.0	0.0	0	0	0	0					
P570-Plus Plan	Yeastar	P570 Plus Plan License, 1000 абонентов, базовый функционал (бессрочная)	230790.0	173100.0	-24.996750292473678	0	0	0	0.0	0.0	0.0	0	0	0	0							230790.0	173100.0	-24.996750292473678	0	0	0	0.0	0.0	0.0	0	0	0	0					
P570-PMS	Yeastar	P570 PMS License, Micros Fidelio & Oracle Opera (бессрочная)	1080200.0	810150.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0							1080200.0	810150.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	0	0					
YSL 109 0009	Yeastar	P570 Standard License,сервис удалённого доступа (годовая)	540100.0	405350.0	-24.949083503054993	0	0	0	0.0	0.0	0.0	0	0	0	0							540100.0	405350.0	-24.949083503054993	0	0	0	0.0	0.0	0.0	0	0	0	0					
